#,ESTABLECIMIENTO,TIPO,CALLE,NUMERO,DEPTO,PARTIDO,PROVINCIA,GMAPS,PROFESIONAL,SERVICIO,AREA,HORARIOS,TELEFONO,EMAIL,WEB,COMENTARIOS,
40,CAPS N° 6 12 De Octubre,Público,Calle 13,,,Olavarría,Buenos Aires,https://goo.gl/maps/rg6EZw6KuPq,,Atención médica general,Servicio de Diversidad,Lunes a Sábado 7 a 16 hs.,02284 45653,,,,
189,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Ginecología,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,Calidad de vida varones trans,
190,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Endocrinología / Hormonización,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,Para mujeres trans y varones trans,
191,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Urología,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,,
192,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Grupos de pares,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,Para adolescentes trans y padres,
193,Hospital General de Agudos Carlos G. Durand,Público,Av. Díaz Velez,5044,,Almagro,CABA,https://goo.gl/maps/zSMDQqxL6gL2,Adrián Helien,Psicología / Psiquiatría,Gapet,,011 4982 5555/5655/1050,,https://www.buenosaires.gob.ar/hospitaldurand,"Acompañamiento transicional para niñes y adolescentes, individual y grupal. Atención familiar y grupo de apoyo para padres",
204,Hospital Interzonal General de Agudos Eva Perón,Público,Av. Dr. Ricardo Balbín,3200,,General San Martín,Buenos Aires,https://goo.gl/maps/VpFkoNJEt3C2,"Dr. Lanza, Dr. Benitez",Cirugías de afirmación de género,Servicio de Cirugía Plástica,Turnos: Lunes a Viernes 8:30 a 11 hs.,011 4724-3000,,http://www.ms.gba.gov.ar/sitios/hevaperon/,Sólo dan turnos con el cambio registral hecho.,
233,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,"Mirta Esquivel, Claudia Li",Grupos de pares,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
234,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,"Mirta Esquivel, Claudia Li",Consumo problemático de drogas/alcohol,,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
235,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,Sebastian Crespo,Ginecología,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
267,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,620,,Morón,Buenos Aires,"https://www.google.com.ar/maps/place/Carlos+Pellegrini+620,+Mor%C3%B3n,+Provincia+de+Buenos+Aires/@-34.6548398,-58.6199166,17z/data=!3m1!4b1!4m5!3m4!1s0x95bcc76604c23eab:0x770f1724ac498d51!8m2!3d-34.6548442!4d-58.6177279",Dr. Pablo Aguirre,Endocrinología / Hormonización,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4131 3311 / 4133 3352,,,Hormonización a mujeres y hombres trans.,
127,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Atención médica general,Consultorio amigable,Lunes a Viernes 8 a 13 hs.,02346 431267,,http://chivilcoy.gov.ar/?page_id=4304,,
128,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Testeo VIH y otras ITS,Consultorio amigable,,02346 431267,,,,
129,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Tratamiento VIH,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
130,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Vacunación,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
131,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Endocrinología / Hormonización,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
132,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,,Psicología / Psiquiatría,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
133,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Grupos de pares,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
134,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Consumo problemático de drogas/alcohol,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
135,CIC Sur,Público,Miguel Calderón,1250,,Chivilcoy,Buenos Aires,https://goo.gl/maps/8Tj8AJWLin82,Mariano Lozza,Servicio Social,Consultorio amigable,Lunes a Viernes 9 a 13 hs.,02346 431267,,,,
336,Policlínico San Justo,Público,Almafuerte,3016,,La Matanza,Buenos Aires,https://goo.gl/maps/2vaGirrcFfz,Gabriela Pagliano,Atención médica general,Programa de Salud Sexual,Turnos: lunes a viernes de 8 a 13 hs.,011 4651 0165 int. 197/ 01146515534 (turnos),aleher52@gmail.com,,,
337,Policlínico San Justo,Público,Almafuerte,3016,,La Matanza,Buenos Aires,https://goo.gl/maps/2vaGirrcFfz,Dr. Jorge Pueyo,Testeo VIH y otras ITS,Programa de VIH/sida,Turnos: lunes a viernes de 8 a 13 hs.,011 4651 0165 int. 197/ 01146515534 (turnos),,,,
338,Policlínico San Justo,Público,Almafuerte,3016,,La Matanza,Buenos Aires,https://goo.gl/maps/2vaGirrcFfz,Dr. Jorge Pueyo,Tratamiento VIH,Programa de VIH/sida,Turnos: lunes a viernes de 8 a 13 hs.,011 4651 0165 int. 197/ 01146515534 (turnos),,,,
339,Policlínico San Justo,Público,Almafuerte,3016,,La Matanza,Buenos Aires,https://goo.gl/maps/2vaGirrcFfz,Gabriela Pagliano,Vacunación,Programa de Salud Sexual,Turnos: lunes a viernes de 8 a 13 hs.,011 4651 0165 int. 197/ 01146515534 (turnos),,,,
340,Policlínico San Justo,Público,Almafuerte,3016,,La Matanza,Buenos Aires,https://goo.gl/maps/2vaGirrcFfz,Gabriela Pagliano,Psicología / Psiquiatría,Programa de Salud Sexual,Turnos: lunes a viernes de 8 a 13 hs.,011 4651 0165 int. 197/ 01146515534 (turnos),,,,
356,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Atención médica general,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
357,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Testeo VIH y otras ITS,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
358,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Tratamiento VIH,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
359,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Endocrinología / Hormonización,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
360,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Psicología / Psiquiatría,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
361,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Consumo problemático de drogas/alcohol,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
362,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Ginecología,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
363,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Violencia,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
364,Secretaría de la Salud,Público,Av. Pres. Hipólito Yrigoyen,2945,,José C. Paz,Buenos Aires,https://goo.gl/maps/35QXqZcfx3F2,"Rocío Majul, Guillermo Gallegos",Salud reproductiva,Consultorio de diversidad,Miércoles y viernes 9 a 12 hs.,02320 440511 int 24 / 02320 437770,,,,
93,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,Silvia Guanciarosa,Psicología / Psiquiatría,,"Lunes, Miercoles y Viernes 9 a 15:30 hs",0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
94,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,Soledad Martinez,Servicio Social,,"Lunes, Martes y Viernes por la tarde",0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
385,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Atención médica general,Consultorio Amigable,,011 4694 3877 ,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
386,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Testeo VIH y otras ITS,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,Se realiza test rápido de VIH.,
387,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Endocrinología / Hormonización,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
388,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Psicología / Psiquiatría,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
389,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Servicio Social,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
390,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Violencia,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
391,Unidad Sanitaria Juan Manuel de Rosas,Público,Ruiz de los Llanos,267,,La Matanza,Buenos Aires,https://goo.gl/maps/hmx2Xu7dm2r,Silvia Reitano,Salud reproductiva,Consultorio Amigable,,011 4694 3877,,https://www.facebook.com/unidadsanitaria.juanmanuelderosas,,
20,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Atención médica general,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans.,
21,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Testeo VIH y otras ITS,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo interdisciplinario con promotora trans.,
22,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Endocrinología / Hormonización,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans. Acompañamiento de procesos de hormonización.,
23,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Psicología / Psiquiatría,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans. Trabajo con familiares a demanda.,
24,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Salud bucal,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans.,
25,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Salud reproductiva,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans.,
26,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Grupos de pares,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans. Actividades y temas según demanda de asistentes.,
27,CAPS Malvinas Argentinas,Público,Cacique Namuncurá,406,,Morón,Buenos Aires,https://goo.gl/maps/bAV4Q6pbGjk,"Ana Paula Fagioli, Ricardo Williams, María Fernandez Lorea, Constanza Recoder, Cristal Sabella",Ginecología,Consultorio de Diversidad Sexual,Miércoles 9 a 17 hs.,011 4656 9488,,,Equipo intedisciplinario con promotora trans. Se realiza pap y colposcopía.,
198,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,,Servicio Social,Servicio Social,Lunes a viernes 9 a 12 hs.,011 4808 2625,,,Se atiende sin turno.,
199,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,,Ginecología,Ginecología,,011 4808 2600 int. 1419,,,,
200,Hospital General de Agudos Dr Juan A. Fernández,Público,Av. Cerviño,3356,,Palermo,CABA,https://goo.gl/maps/6FLVSDDTZTo,,Vacunación,Vacunatorio,Lunes a viernes 8 a 16 hs.,,,,Ir con orden médica con la indicación.,
180,Hospital de Infecciosas Francisco Javier Muñiz,Público,Uspallata,2272,,Parque Patricios,CABA,https://goo.gl/maps/PRkVAPoDpW92,,Tratamiento VIH,Infectología,,011 4304 2180,,,,
236,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Atención médica general,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
237,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Deportes,Consultorio de diversidad - Natatorio Municipal,Viernes 20 a 21 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,Natación en el Natatorio municipal frente al Hospital.,
238,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Testeo VIH y otras ITS,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,Se realiza test rápido de VIH,
239,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Tratamiento VIH,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
240,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Vacunación,Vacunatorio,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
241,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Endocrinología / Hormonización,Consultorio de diversidad,Viernes 15 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,Hormonización para mujeres y hombres trans.,
242,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Cirugías de afirmación de género,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,"No realizan la cirugía, pero sí asesoran y derivan hacia hospitales que la realicen.",
243,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Psicología / Psiquiatría,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
244,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Servicio Social,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
245,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Violencia,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
246,Hospital Local Dr. Alexander Fleming,Público,Av. Brigadier General Juan Manuel de Rosas,4260,,General San Martín,Buenos Aires,https://goo.gl/maps/KpciZdFKJJn,,Salud reproductiva,Consultorio de diversidad,Viernes 16 a 20 hs,011 4580 1050- 4089 9717 / Paola Acevedo (Referente de ATTTA) 1133476362,,,,
268,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,622,,Morón,Buenos Aires,https://goo.gl/maps/i8znP9msSiE2,,Atención médica general,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4133 3351,,,,
269,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,622,,Morón,Buenos Aires,https://goo.gl/maps/i8znP9msSiE2,,Testeo VIH y otras ITS,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4133 3351,,,,
270,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,622,,Morón,Buenos Aires,https://goo.gl/maps/i8znP9msSiE2,,Ginecología,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4133 3351,,,Realización de PAP.,
271,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,622,,Morón,Buenos Aires,https://goo.gl/maps/i8znP9msSiE2,,Vacunación,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4133 3351,,,,
272,Hospital Municipal Ostaciana de Lavignole (Consultorios externos),Público,Carlos Pelegrini,622,,Morón,Buenos Aires,https://goo.gl/maps/i8znP9msSiE2,,Salud reproductiva,Consultorio Externo. Consultorio amigable,Turnos telefónicos o demanda espontánea a las 7 hs excepto jueves. Atención: Viernes 15 a 17.30 hs.,011 4133 3351,,,,
95,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,,Atención médica general,,Lunes a viernes 9 a 15.30,0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
96,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,,Testeo VIH y otras ITS,,Lunes a viernes 9 a 15.30,0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
97,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,,Violencia,,Lunes a viernes 9 a 15.30,0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
98,Centro de Salud Integral Sandra Cabrera,Público,Calle 1,1723,,La Plata,Buenos Aires,https://goo.gl/maps/wCW5TnVEksQ2,,Salud reproductiva,,Lunes a viernes 9 a 15.30,0221 425 8115,,,Especializado en salud y contención para trabajadoras sexuales.,
104,Centro de Salud Villa Vatteone,Público,Av. 12 de Octubre,363,,Florencio Varela,Buenos Aires,https://goo.gl/maps/vxULcaDNJHv,,Atención médica general,,Lunes a viernes 8 a 14 hs,011 4287 3160,,,,
